,PHM
Company Name,"PulteGroup, Inc."
Last Updated,2025-09-12 17:13
Ticker,PHM
Sector,Consumer Cyclical
Industry,Residential Construction
Business Summary,"PulteGroup, Inc., through its subsidiaries, engages in the homebuilding business in the United States. It acquires and develops land primarily for residential purposes; and constructs housing on such land. The company also offers various home designs, including single-family detached, townhomes, condominiums, and duplexes under the Centex, Pulte Homes, Del Webb, DiVosta Homes, John Wieland Homes and Neighborhoods, and American West brand names. In addition, the company arranges financing through the origination of mortgage loans for homebuyers; sells the servicing rights for the originated loans; and provides title insurance policies, and examination and closing services to homebuyers. PulteGroup, Inc. was founded in 1950 and is headquartered in Atlanta, Georgia."
Current Price,137.1
Current Market Cap,27049558016
P/E Ratio TTM,10.254301
P/E Ratio LFQ (Calculated),9.86333568679346
Forward P/E,10.155556
P/B Ratio,2.1543393
P/S Ratio TTM,1.528695
Current Ratio MRQ,6.409
Debt to Equity MRQ,18.024
ROE TTM,0.23048
Revenue Growth YOY,-0.043
Quarterly Revenue Growth (Calculated),0.1313000141291922
P/FCF TTM (Calculated),17.314498531284066
P/FCF LFQ (Calculated),20.52478912691963
TEV/EBITDA LFQ (Calculated),7.726668478818592
Operating Margin MRQ,0.18341999
Operating Margin LFQ (Calculated),0.19923726758439228
Gross Margin,0.27813
Gross Margin LFQ (Calculated),0.2781310913914071
Profit Margin,0.15499
Profit Margin LFQ (Calculated),0.15498763149606423
Free Cash Flow LFQ (Calculated),2025-06-30 00:00:00: $253M; 2025-03-31 00:00:00: $105M; 2024-12-31 00:00:00: $543M; 2024-09-30 00:00:00: $417M
Total Cash MRQ,$1.238B
Total Debt MRQ,$2.266B
ROA,0.12946
EPS TTM,13.37
Dividend Yield,0.63
Shares Outstanding,197298000
Target Price,137.0
Recommendation,2.0
52W High,149.47
52W Low,88.07
Beta,1.275
Momentum 1M (%),5.49
Momentum 3M (%),35.22
Momentum 6M (%),36.2
Momentum 1Y (%),-1.0
Relative Strength (%),79.85
