,PYPL
Company Name,"PayPal Holdings, Inc."
Last Updated,2025-09-12 17:14
Ticker,PYPL
Sector,Financial Services
Industry,Credit Services
Business Summary,"PayPal Holdings, Inc. operates a technology platform that enables digital payments for merchants and consumers worldwide. It operates a two-sided network at scale that connects merchants and consumers that enables its customers to connect, transact, and send and receive payments through online and in person, as well as transfer and withdraw funds using various funding sources, such as bank accounts, PayPal or Venmo account balance, consumer credit products, credit and debit cards, and cryptocurrencies, as well as other stored value products, including gift cards and eligible rewards. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, Zettle, Hyperwallet, Honey, and Paidy names. The company was founded in 1998 and is headquartered in San Jose, California."
Current Price,66.89
Current Market Cap,63905230848
P/E Ratio TTM,14.32334
P/E Ratio LFQ (Calculated),13.657882617363445
Forward P/E,13.678937
P/B Ratio,3.1787293
P/S Ratio TTM,1.9789803
Current Ratio MRQ,1.329
Debt to Equity MRQ,60.254
ROE TTM,0.22923
Revenue Growth YOY,0.051
Quarterly Revenue Growth (Calculated),0.0637915543575921
P/FCF TTM (Calculated),9.443657580611793
P/FCF LFQ (Calculated),12.075818376417233
TEV/EBITDA LFQ (Calculated),9.149195317449387
Operating Margin MRQ,0.19293
Operating Margin LFQ (Calculated),0.19079028861637556
Gross Margin,0.41682
Gross Margin LFQ (Calculated),0.4691254799950452
Profit Margin,0.1449
Profit Margin LFQ (Calculated),0.1448965688096123
Free Cash Flow LFQ (Calculated),2025-06-30 00:00:00: $692M; 2025-03-31 00:00:00: $964M; 2024-12-31 00:00:00: $2191M; 2024-09-30 00:00:00: $1445M
Total Cash MRQ,$10.008B
Total Debt MRQ,$12.172B
ROA,0.04614
EPS TTM,4.67
Dividend Yield,N/A
Shares Outstanding,955377984
Target Price,82.52188
Recommendation,2.33333
52W High,93.66
52W Low,55.85
Beta,1.438
Momentum 1M (%),-5.3
Momentum 3M (%),-5.56
Momentum 6M (%),-0.03
Momentum 1Y (%),-4.58
Relative Strength (%),29.2
