ticker,market_cap,price,volume,sector,industry
A,41600851968,146.74,746963,Healthcare,Diagnostics & Research
AA,9664537600,37.32,4296075,Basic Materials,Aluminum
AACI,406146304,10.29,267230,Financial Services,Shell Companies
AACT,587048640,9.49,918480,Financial Services,Shell Companies
AAL,9010180096,13.65,68925885,Industrials,Airlines
AAM,467883360,10.6401,255681,Financial Services,Shell Companies
AAMI,1592555776,44.47,234006,Financial Services,Asset Management
AAOI,1781449472,28.57,10090063,Technology,Communication Equipment
AAON,8603931648,105.53,1662011,Industrials,Building Products & Equipment
AAP,2921282560,48.67,935773,Consumer Cyclical,Auto Parts
AAPL,3967007326208,268.47,45140079,Technology,Consumer Electronics
AARD,219967184,10.14,139711,Healthcare,Biotechnology
AAT,1460849536,19.32,445124,Real Estate,REIT - Diversified
AAUC,1915799936,15.45,229913,Basic Materials,Gold
AB,3608792064,39.14,165521,Financial Services,Asset Management
ABAT,522947680,4.43,15302352,Industrials,Waste Management
ABBV,387340009472,219.16,4566957,Healthcare,Drug Manufacturers - General
ABCB,5053544960,73.68,275768,Financial Services,Banks - Regional
ABCL,1168436736,3.91,13446937,Healthcare,Biotechnology
ABEO,215369856,4.2,2483311,Healthcare,Biotechnology
ABEV,38540652544,2.43,38182046,Consumer Defensive,Beverages - Brewers
ABG,4405424640,226.61,109474,Consumer Cyclical,Auto & Truck Dealerships
ABL,618692224,6.45,2276610,Financial Services,Insurance - Life
ABM,2569986560,41.95,368551,Industrials,Specialty Business Services
ABNB,74007044096,120.88,11553122,Consumer Cyclical,Travel Services
ABOS,115089512,1.88,282769,Healthcare,Biotechnology
ABR,1998069632,9.23,6119757,Real Estate,REIT - Mortgage
ABSI,536786304,3.335,4358320,Healthcare,Biotechnology
ABT,219723857920,126.36,3498150,Healthcare,Medical Devices
ABTC,4292596224,4.64,2998950,Financial Services,Capital Markets
ABUS,862644096,4.5,808586,Healthcare,Biotechnology
ABVE,174308240,2.73,2543861,Consumer Defensive,Packaged Foods
ABVX,8193050112,105.27,924794,Healthcare,Biotechnology
ACA,4859381248,99.08,156612,Industrials,Engineering & Construction
ACAD,3807834880,22.57,1479739,Healthcare,Biotechnology
ACB,257417600,4.55,1100402,Healthcare,Drug Manufacturers - Specialty & Generic
ACCO,313673728,3.44,830609,Industrials,Business Equipment & Supplies
ACDC,924266176,5.03,1328253,Energy,Oil & Gas Equipment & Services
ACEL,847056896,10.18,322955,Consumer Cyclical,Gambling
ACGL,32899061760,89.57,2313846,Financial Services,Insurance - Diversified
ACHC,1832400768,19.51,3661453,Healthcare,Medical Care Facilities
